_id,Code,Name,infected,death,recovered,active,Name_VN,the_geom
0,89,An Giang,0,0,0,0,An Giang,0101000020E6100000AC37FB278D4B5A400F32ACC0D3062540
1,24,Bac Giang,22,0,22,0,Bắc Giang,0101000020E610000080FE8EECAA9E5A40B594083BC25B3540
2,6,Bac Kan,0,0,0,0,Bắc Kạn,0101000020E6100000BE6CCC04CD745A40F96D745E37433640
3,95,Bac Lieu,52,0,52,0,Bạc Liêu,0101000020E61000005D1ECBC52C5F5A400BE06F773DA12240
4,27,Bac Ninh,17,0,15,2,Bắc Ninh,0101000020E61000003006F903B2865A4058464DD02F1C3540
5,83,Ben Tre,14,0,2,12,Bến Tre,0101000020E61000005750263DE69D5A40188D88C7BE3D2440
6,52,Binh Dinh,1,0,1,0,Bình Định,0101000020E61000008292240D943C5B40FE334978EB3F2C40
7,74,Binh Duong,42,0,39,3,Bình Dương,0101000020E61000005EC7AF0300AA5A40D6C888C1AC6F2640
8,70,Binh Phuoc,0,0,0,0,Bình Phước,0101000020E6100000FBE00FE805BA5A4036AD14B577832740
9,60,Binh Thuan,10,0,10,0,Bình Thuận,0101000020E61000008BF6100407035B409FCFAA2DDD3C2640
10,96,Ca Mau,5,0,1,4,Cà Mau,0101000020E610000085C6031D7E425A40BAA990F6F5192240
11,92,Can Tho,10,0,10,0,Cần Thơ,0101000020E6100000F872A3F6D2615A40B65319562D3B2440
12,4,Cao Bang,0,0,0,0,Cao Bằng,0101000020E61000009F62D3655E855A404F6F018B05BF3640
13,66,Dak Lak,3,0,3,0,Đắk Lắk,0101000020E6100000813EC948220D5B40D19BD893D3A62940
14,67,Dak Nong,0,0,0,0,Đắk Nông,0101000020E6100000BBC2D6BFF2EB5A403EAFED2E56752840
15,11,Dien Bien,3,0,2,1,Điện Biên,0101000020E61000004CE2B15B5AC15940A40364CB12B63540
16,75,Dong Nai,22,0,19,3,Đồng Nai,0101000020E6100000BD38CB84AACB5A403C623C615D1D2640
17,87,Dong Thap,27,0,25,2,Đồng Tháp,0101000020E610000037079E16C9665A40DDEE1C1E8D212540
18,64,Gia Lai,27,0,23,4,Gia Lai,0101000020E610000070EACC01510F5B406669D6060F992B40
19,2,Ha Giang,2,0,1,1,Hà Giang,0101000020E6100000F2819A8A773E5A400B7716B13FC43640
